"Active-Duty Personnel by Service Branch, Sex, and Pay Grade",,,,,,,,,,,,,,,,,,
,Army,,,Navy,,,Marine Corps,,,Air Force,,,Space Force,,,Total,,
Pay Grade,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
E1,"7,909","1,322","9,231","9,051","2,681","11,732","7,233",659,"7,892","6,564","1,607","8,171",177,30,207,"30,934","6,299","37,233"
E2,"18,763","3,383","22,146","10,969","3,603","14,572","14,688","1,604","16,292","6,562","1,698","8,260",159,33,192,"51,141","10,321","61,462"
E3,"38,802","8,169","46,971","23,430","7,493","30,923","35,047","3,787","38,834","34,981","9,891","44,872",797,210,"1,007","133,057","29,550","162,607"
E4,"81,278","14,619","95,897","39,241","11,855","51,096","28,946","2,942","31,888","52,399","15,324","67,723",598,134,732,"202,462","44,874","247,336"
E5,"55,671","11,111","66,782","57,238","16,254","73,492","21,481","2,723","24,204","42,576","11,038","53,614",901,165,"1,066","177,867","41,291","219,158"
E6,"50,030","7,432","57,462","45,749","9,580","55,329","11,667","1,370","13,037","32,242","6,746","38,988",696,130,826,"140,384","25,258","165,642"
E7,"30,367","4,322","34,689","18,026","3,098","21,124","8,191",760,"8,951","18,367","4,717","23,084",517,110,627,"75,468","13,007","88,475"
E8,"9,287","1,426","10,713","6,500",912,"7,412","3,559",275,"3,834","3,632","1,133","4,765",100,38,138,"23,078","3,784","26,862"
E9,"2,908",413,"3,321","2,518",323,"2,841","1,518",83,"1,601","1,956",506,"2,462",37,12,49,"8,937","1,337","10,274"
Total Enlisted,"295,015","52,197","347,212","212,722","55,799","268,521","132,330","14,203","146,533","199,279","52,660","251,939","3,982",862,"4,844","843,328","175,721","1,019,049"
W1,"3,817",399,"4,216",30,3,33,483,48,531,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,"4,330",450,"4,780"
W2,"5,398",653,"6,051",615,96,711,738,47,785,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,"6,751",796,"7,547"
W3,"2,826",316,"3,142",734,102,836,538,32,570,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,"4,098",450,"4,548"
W4,"1,532",149,"1,681",416,42,458,265,11,276,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,"2,213",202,"2,415"
W5,514,47,561,69,5,74,103,8,111,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,686,60,746
Total Warrant Officers,"14,087","1,564","15,651","1,864",248,"2,112","2,127",146,"2,273",N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,"18,078","1,958","20,036"
O1,"7,153","2,358","9,511","5,012","1,545","6,557","2,292",370,"2,662","4,867","1,897","6,764",387,137,524,"19,711","6,307","26,018"
O2,"10,013","3,093","13,106","5,640","1,769","7,409","3,377",574,"3,951","4,993","1,889","6,882",409,160,569,"24,432","7,485","31,917"
O3,"20,694","5,739","26,433","14,825","4,825","19,650","5,298",624,"5,922","15,532","5,362","20,894","1,032",246,"1,278","57,381","16,796","74,177"
O4,"12,758","3,002","15,760","8,085","2,217","10,302","3,610",333,"3,943","10,045","3,395","13,440",951,196,"1,147","35,449","9,143","44,592"
O5,"6,969","1,539","8,508","5,478","1,040","6,518","1,809",138,"1,947","7,459","1,804","9,263",620,124,744,"22,335","4,645","26,980"
O6,"3,084",588,"3,672","2,613",421,"3,034",660,49,709,"2,658",544,"3,202",203,33,236,"9,218","1,635","10,853"
O7,87,18,105,90,7,97,37,2,39,91,14,105,11,1,12,316,42,358
O8,100,7,107,67,3,70,30,2,32,68,8,76,9,0,9,274,20,294
O9,41,8,49,32,4,36,18,0,18,33,6,39,4,1,5,128,19,147
O10,12,1,13,7,1,8,3,0,3,12,1,13,3,0,3,37,3,40
Total Officers,"60,911","16,353","77,264","41,849","11,832","53,681","17,134","2,092","19,226","45,758","14,920","60,678",3629,898,4527,"169,281","46,095","215,376"
Total,"370,013","70,114","440,127","256,435","67,879","324,314","151,591","16,441","168,032","245,037","67,580","312,617","7,611",1760,"9,371","1,030,687","223,774","1,254,461"
Source: DMDC Active-Duty Military Personnel Master File (June 2024),,,,,,,,,,,,,,,,,,